flow_id,src_ip,src_port,dst_ip,dst_port,duration_ms,total_packets,total_bytes,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,packet_rate_per_sec,byte_rate_per_sec,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,mean_iat_ms,min_iat_ms,max_iat_ms,std_iat_ms,syn_count,ack_count,fin_count,rst_count,psh_count,label_str,label
10.0.0.45:49161-23.62.237.87:80,10.0.0.45,49161,23.62.237.87,80,58.3338737487793,10.0,840.0,5.0,5.0,379.0,461.0,171.4269832836065,14399.866595822945,84.0,54.0,233.0,57.21713030203455,6.481541527642144,0.0469684600830078,18.90802383422852,8.623387815213613,2.0,9.0,2.0,0.0,2.0,benign,0
10.0.0.45:49166-23.214.152.95:443,10.0.0.45,49166,23.214.152.95,443,236986.41800880432,50.0,17350.0,19.0,31.0,1769.0,15581.0,0.2109825551190129,73.2109466262975,347.0,54.0,1506.0,536.8355800429028,4836.4575103837615,0.0970363616943359,31729.3758392334,10963.03234242606,2.0,47.0,1.0,2.0,9.0,benign,0
10.0.0.45:49167-23.214.152.95:443,10.0.0.45,49167,23.214.152.95,443,286976.2420654297,56.0,17674.0,21.0,35.0,1877.0,15797.0,0.1951381048025298,61.58697971928416,315.60714285714283,54.0,1506.0,515.2933865621544,5217.7498557350855,0.1211166381835937,31661.56816482544,11246.877930613213,2.0,53.0,1.0,2.0,9.0,benign,0
10.0.0.45:49168-23.62.237.94:80,10.0.0.45,49168,23.62.237.94,80,71.88820838928223,9.0,955.0,5.0,4.0,508.0,447.0,125.19438447073338,13284.515241061154,106.11111111111111,54.0,280.0,91.21701162544484,8.986026048660278,0.272989273071289,22.52793312072754,8.913832907543599,2.0,8.0,2.0,0.0,2.0,benign,0
10.0.0.45:49169-23.214.152.95:443,10.0.0.45,49169,23.214.152.95,443,2672.0359325408936,25.0,13816.0,12.0,13.0,1297.0,12519.0,9.356161605292108,5170.58914954863,552.64,54.0,1506.0,646.8832896280442,111.33483052253725,0.0278949737548828,1238.7549877166748,298.3729018519876,2.0,24.0,0.0,1.0,8.0,benign,0
10.0.0.45:49170-23.57.107.27:80,10.0.0.45,49170,23.57.107.27,80,1560.6460571289062,11.0,2623.0,6.0,5.0,623.0,2000.0,7.048363047952405,1680.7142067981051,238.45454545454547,54.0,1506.0,410.883607415744,156.06460571289062,0.086069107055664,1446.7520713806152,430.5543844476037,2.0,10.0,0.0,1.0,3.0,benign,0
10.0.0.45:49171-23.57.107.27:80,10.0.0.45,49171,23.57.107.27,80,1231.8508625030518,11.0,2601.0,6.0,5.0,629.0,1972.0,8.929652391238838,2111.456897237474,236.45454545454547,54.0,1506.0,410.5073055791874,123.18508625030518,0.0619888305664062,1147.449970245361,341.78411672797085,2.0,10.0,0.0,1.0,3.0,benign,0
10.0.0.45:49172-23.57.107.27:80,10.0.0.45,49172,23.57.107.27,80,430.8850765228272,17.0,5467.0,9.0,8.0,1098.0,4369.0,39.45367553034617,12687.837889670736,321.5882352941176,54.0,1506.0,465.0461152115523,26.930317282676697,0.066995620727539,314.378023147583,75.30498791325421,2.0,16.0,0.0,1.0,6.0,benign,0
10.0.0.45:49173-23.57.107.27:80,10.0.0.45,49173,23.57.107.27,80,131.12187385559082,11.0,2992.0,6.0,5.0,631.0,2361.0,83.89141854481649,22818.465844190087,272.0,54.0,1506.0,429.6711215886783,13.112187385559082,0.0789165496826171,46.820878982543945,18.488680380694436,2.0,10.0,0.0,1.0,3.0,benign,0
10.0.0.138:5431-10.0.0.45:49174,10.0.0.138,5431,10.0.0.45,49174,14.294862747192385,13.0,4236.0,7.0,6.0,3668.0,568.0,909.4176159581032,296330.2323998866,325.84615384615387,54.0,1514.0,513.0219437732654,1.191238562266032,0.0410079956054687,3.506898880004883,0.963866455516808,2.0,12.0,2.0,0.0,3.0,benign,0
10.0.0.45:49180-23.63.92.245:443,10.0.0.45,49180,23.63.92.245,443,195932.85393714905,903.0,922491.0,276.0,627.0,18964.0,903527.0,4.608721722032705,4708.199678936514,1021.5847176079734,54.0,1506.0,672.4889681311827,217.2204589103648,0.0009536743164062,30009.357929229736,2298.8503748583057,2.0,902.0,0.0,1.0,43.0,benign,0
10.0.0.138:5431-10.0.0.45:49181,10.0.0.138,5431,10.0.0.45,49181,12.681961059570312,12.0,4540.0,7.0,5.0,4039.0,501.0,946.2258986313732,357988.7983155362,378.3333333333333,54.0,1514.0,529.909164123647,1.1529055508700283,0.1201629638671875,3.969907760620117,1.17903773250916,2.0,11.0,2.0,0.0,3.0,benign,0
